Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap2.2557	NA	NA	NA	NA	NA	NA	ref|XP_015770597.1|	6.57e-20	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	NA	NA
evm.model.Ap2.2550	NA	NA	NA	tr|A7SR16|A7SR16_NEMVE	7.45e-36	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g128310 PE=4 SV=1	gb|EDO33834.1|	1.15e-35	predicted protein [Nematostella vectensis]	NA	
evm.model.Ap2.2551	sp|P20072|ANXA7_BOVIN	3.28e-113	Annexin A7 OS=Bos taurus GN=ANXA7 PE=1 SV=2	tr|A0A2B4RU04|A0A2B4RU04_STYPI	9.91e-166	Tubulin alpha-1A chain OS=Stylophora pistillata GN=Tuba1a PE=4 SV=1	ref|XP_020604920.1|	0	annexin A5-like isoform X2 [Orbicella faveolata]	GO:0042584; GO:0005829; GO:0005789; GO:0005635; GO:0005886; GO:0005509; GO:0005544; GO:0048306; GO:0042802; GO:0005178; GO:0006914; GO:0008283; GO:0006874; GO:0009992; GO:0030855; GO:0007599; GO:0010629; GO:0008360; GO:0009651; GO:0035176	GO:0005737; GO:0005874; GO:0005509; GO:0005544; GO:0005525; GO:0003924; GO:0005200; GO:0007017
evm.model.Ap2.2552	sp|Q8VEG6|CNO6L_MOUSE	0	CCR4-NOT transcription complex subunit 6-like OS=Mus musculus GN=Cnot6l PE=1 SV=2	tr|A0A2B4RU04|A0A2B4RU04_STYPI	0	Tubulin alpha-1A chain OS=Stylophora pistillata GN=Tuba1a PE=4 SV=1	ref|XP_020604917.1|	0	CCR4-NOT transcription complex subunit 6-like [Orbicella faveolata]	GO:0030014; GO:0005737; GO:0005829; GO:0005634; GO:0046872; GO:0004535; GO:0031047; GO:0061157; GO:0006397; GO:0000288; GO:0008284; GO:0010606; GO:0006355; GO:0006351	GO:0005737; GO:0005874; GO:0005509; GO:0005544; GO:0005525; GO:0003924; GO:0005200; GO:0007017
evm.model.Ap2.2553	NA	NA	NA	tr|A7REZ4|A7REZ4_NEMVE	2.93e-19	Predicted protein OS=Nematostella vectensis GN=v1g237760 PE=4 SV=1	ref|XP_020604791.1|	2.19e-112	uncharacterized protein LOC110043657 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap2.2558	NA	NA	NA	tr|A0A2B4SJZ0|A0A2B4SJZ0_STYPI	8.89e-52	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene6395 PE=4 SV=1	gb|PFX28898.1|	1.38e-51	hypothetical protein AWC38_SpisGene6395 [Stylophora pistillata]	NA	
evm.model.Ap2.2559	sp|G3M4F8|OCTB2_CHISP	2.09e-16	Octopamine receptor beta-2R OS=Chilo suppressalis GN=OA2B2 PE=2 SV=1	tr|A7SFI1|A7SFI1_NEMVE	1.87e-29	Predicted protein OS=Nematostella vectensis GN=v1g211484 PE=3 SV=1	ref|XP_020613881.1|	1.01e-60	octopamine receptor beta-1R-like [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0004989; GO:0008226; GO:0007189; GO:0071418; GO:0071927; GO:0071928	GO:0016021; GO:0004930
evm.model.Ap2.3607	NA	NA	NA	tr|A0A2B4SJN0|A0A2B4SJN0_STYPI	1.29e-108	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5625 PE=4 SV=1	gb|PFX29566.1|	2e-108	hypothetical protein AWC38_SpisGene5625 [Stylophora pistillata]	NA	
evm.model.Ap2.3606	NA	NA	NA	tr|A0A2B4SJN0|A0A2B4SJN0_STYPI	6.17e-123	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5625 PE=4 SV=1	ref|XP_020616214.1|	0	uncharacterized protein LOC110054200 [Orbicella faveolata]	NA	
evm.model.Ap2.3605	NA	NA	NA	tr|A7SIC1|A7SIC1_NEMVE	1.98e-23	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g74567 PE=4 SV=1	gb|EDO36545.1|	3.06e-23	predicted protein [Nematostella vectensis]	NA	
evm.model.Ap2.3604	NA	NA	NA	tr|A0A2B4SEV5|A0A2B4SEV5_STYPI	5.39e-132	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8169 PE=4 SV=1	gb|PFX27138.1|	8.36e-132	hypothetical protein AWC38_SpisGene8169 [Stylophora pistillata]	NA	GO:0046872
evm.model.Ap2.3603	sp|Q95SX7|RTBS_DROME	5.95e-27	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1	tr|A0A2B4RTX9|A0A2B4RTX9_STYPI	0	RNA-directed DNA polymerase from mobile element jockey OS=Stylophora pistillata GN=pol PE=4 SV=1	gb|KXJ06829.1|	0	RNA-directed DNA polymerase from mobile element jockey [Exaiptasia pallida]	GO:0003964; GO:0006313	GO:0005576; GO:0003964
evm.model.Ap2.3602	NA	NA	NA	tr|A0A2B4SM40|A0A2B4SM40_STYPI	6.43e-30	Tyrosine-protein kinase Fer OS=Stylophora pistillata GN=FER PE=4 SV=1	ref|XP_020616167.1|	5.83e-34	tyrosine-protein kinase Fer-like isoform X1 [Orbicella faveolata]	NA	GO:0005524; GO:0005154; GO:0004715; GO:0031532; GO:0008283; GO:0030335; GO:0051092; GO:0042058
evm.model.Ap2.3601	sp|P16591|FER_HUMAN	3.36e-116	Tyrosine-protein kinase Fer OS=Homo sapiens GN=FER PE=1 SV=2	tr|A0A2B4SM40|A0A2B4SM40_STYPI	1.93e-180	Tyrosine-protein kinase Fer OS=Stylophora pistillata GN=FER PE=4 SV=1	ref|XP_020616167.1|	0	tyrosine-protein kinase Fer-like isoform X1 [Orbicella faveolata]	GO:0005938; GO:0030054; GO:0042995; GO:0005737; GO:0005856; GO:0005829; GO:0031234; GO:0005634; GO:0005524; GO:0005154; GO:0008289; GO:0004715; GO:0008157; GO:0004713; GO:0031532; GO:0007155; GO:0030154; GO:0008283; GO:0044331; GO:0032869; GO:0036006; GO:0034614; GO:0006935; GO:0019221; GO:0050904; GO:0035426; GO:0038095; GO:0045087; GO:0038028; GO:0070102; GO:0035556; GO:0038109; GO:0000226; GO:0000278; GO:0033007; GO:0038083; GO:0018108; GO:0048008; GO:0030838; GO:0030335; GO:0008284; GO:0051092; GO:0046777; GO:0006468; GO:0042058; GO:0010762; GO:0010591; GO:0043304; GO:0001932; GO:0032496; GO:0036119; GO:0034446; GO:0007260	GO:0005524; GO:0005154; GO:0004715; GO:0031532; GO:0008283; GO:0030335; GO:0051092; GO:0042058
evm.model.Ap2.3600	sp|Q5XGG3|PIHD2_XENTR	2.42e-49	PIH1 domain-containing protein 2 OS=Xenopus tropicalis GN=pih1d2 PE=2 SV=1	tr|A0A2B4SI69|A0A2B4SI69_STYPI	1.72e-178	PIH1 domain-containing protein 2 OS=Stylophora pistillata GN=pih1d2 PE=4 SV=1	ref|XP_020616211.1|	0	PIH1 domain-containing protein 2-like [Orbicella faveolata]		
evm.model.Ap2.3609	NA	NA	NA	tr|A0A2B4SKD8|A0A2B4SKD8_STYPI	1.83e-100	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5626 PE=4 SV=1	gb|PFX29569.1|	2.84e-100	uncharacterized protein LOC111324645 [Stylophora pistillata]	NA	
evm.model.Ap2.3608	sp|Q7LL04|YQK1_SCHPO	6.67e-38	UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2	tr|A0A2B4RUX9|A0A2B4RUX9_STYPI	8.99e-166	UPF0676 protein C1494.01 OS=Stylophora pistillata GN=AWC38_SpisGene14907 PE=4 SV=1	ref|XP_020629302.1|	4.97e-180	UPF0676 protein C1494.01-like isoform X1 [Orbicella faveolata]	GO:0005829; GO:0005634; GO:0016491	GO:0046872; GO:0016491
evm.model.Ap2.339	sp|Q5ZIZ2|SMYD5_CHICK	6.49e-158	SET and MYND domain-containing protein 5 OS=Gallus gallus GN=SMYD5 PE=2 SV=1	tr|A0A2B4RP40|A0A2B4RP40_STYPI	0	SET and MYND domain-containing protein 5 OS=Stylophora pistillata GN=SMYD5 PE=4 SV=1	ref|XP_020614157.1|	0	SET and MYND domain-containing protein 5-like [Orbicella faveolata]	GO:0046872; GO:0008168	
evm.model.Ap2.338	NA	NA	NA	NA	NA	NA	ref|XP_022802182.1|	6.86e-37	uncharacterized protein LOC111339733 [Stylophora pistillata]	NA	NA
evm.model.Ap2.331	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	1.31e-155	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614345.1|	0	uncharacterized protein LOC110052556 [Orbicella faveolata]	NA	
evm.model.Ap2.330	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	3.28e-105	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614343.1|	1.22e-107	uncharacterized protein LOC110052555 [Orbicella faveolata]	NA	
evm.model.Ap2.333	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614347.1|	0	uncharacterized protein LOC110052557 [Orbicella faveolata]	NA	
evm.model.Ap2.332	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614347.1|	0	uncharacterized protein LOC110052557 [Orbicella faveolata]	NA	
evm.model.Ap2.335	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	1.18e-161	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614169.1|	0	uncharacterized protein LOC110052388 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap2.334	NA	NA	NA	tr|A0A2B4RM97|A0A2B4RM97_STYPI	1.82e-175	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17342 PE=4 SV=1	ref|XP_020614171.1|	0	uncharacterized protein LOC110052388 isoform X3 [Orbicella faveolata]	NA	
evm.model.Ap2.337	sp|Q9NX94|WBP1L_HUMAN	9.1e-18	WW domain binding protein 1-like OS=Homo sapiens GN=WBP1L PE=1 SV=2	tr|A0A2B4RNC4|A0A2B4RNC4_STYPI	1.57e-76	WW domain binding protein 1-like OS=Stylophora pistillata GN=WBP1L PE=4 SV=1	ref|XP_020614158.1|	6.48e-94	WW domain binding protein 1-like [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap2.336	sp|Q9GR88|ERF1_POLMI	0	Eukaryotic peptide chain release factor subunit 1 OS=Polyandrocarpa misakiensis GN=ERF1 PE=2 SV=1	tr|A0A2B4RIS5|A0A2B4RIS5_STYPI	0	Eukaryotic peptide chain release factor subunit 1 OS=Stylophora pistillata GN=ERF1 PE=4 SV=1	ref|XP_020614156.1|	0	eukaryotic peptide chain release factor subunit 1 [Orbicella faveolata]	GO:0005737; GO:0003747	GO:0005737; GO:0003747
evm.model.Ap2.2828	NA	NA	NA	tr|A0A2B4SHM5|A0A2B4SHM5_STYPI	3.18e-136	Fructose-2,6-bisphosphatase TIGAR OS=Stylophora pistillata GN=TIGAR PE=4 SV=1	ref|XP_020619307.1|	3.53e-155	uncharacterized protein LOC110057066 [Orbicella faveolata]	NA	GO:0003824; GO:0008152
evm.model.Ap2.2829	NA	NA	NA	tr|A0A2B4SDX8|A0A2B4SDX8_STYPI	3.88e-159	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene7197 PE=4 SV=1	ref|XP_020619305.1|	1.37e-171	uncharacterized protein LOC110057063 [Orbicella faveolata]	NA	
evm.model.Ap2.2820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.2821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.2822	NA	NA	NA	tr|A7SZ43|A7SZ43_NEMVE	3.32e-17	Predicted protein OS=Nematostella vectensis GN=v1g219808 PE=4 SV=1	gb|KXJ11327.1|	2.89e-20	hypothetical protein AC249_AIPGENE23178 [Exaiptasia pallida]	NA	
evm.model.Ap2.2823	sp|Q8NFW1|COMA1_HUMAN	2.01e-19	Collagen alpha-1(XXII) chain OS=Homo sapiens GN=COL22A1 PE=2 SV=2	tr|A0A2B4SHS3|A0A2B4SHS3_STYPI	0	Collagen alpha-1(XXII) chain OS=Stylophora pistillata GN=COL22A1 PE=4 SV=1	ref|XP_022786489.1|	0	uncharacterized protein LOC111326698 [Stylophora pistillata]	GO:0005581; GO:0005788; GO:0005576; GO:0005578	GO:0005581
evm.model.Ap2.2824	sp|P08021|FMRF_APLCA	4.27e-44	FMRF-amide neuropeptides OS=Aplysia californica PE=1 SV=3	tr|A0A2B4SHN5|A0A2B4SHN5_STYPI	0	FMRF-amide neuropeptide OS=Stylophora pistillata GN=3 PE=4 SV=1	gb|PFX28088.1|	0	FMRF-amide neuropeptide [Stylophora pistillata]	GO:0005576; GO:0007218	GO:0007218
evm.model.Ap2.2825	sp|P28347|TEAD1_HUMAN	8.32e-143	Transcriptional enhancer factor TEF-1 OS=Homo sapiens GN=TEAD1 PE=1 SV=2	tr|A0A2B4SHR3|A0A2B4SHR3_STYPI	0	Transcriptional enhancer factor TEF-1 OS=Stylophora pistillata GN=TEAD1 PE=4 SV=1	ref|XP_020619315.1|	0	transcriptional enhancer factor TEF-1-like isoform X1 [Orbicella faveolata]	GO:0005654; GO:0071148; GO:0003677; GO:0003700; GO:0046982; GO:0000987; GO:0001085; GO:0043565; GO:0001223; GO:0000982; GO:0001134; GO:0048568; GO:0035329; GO:1902895; GO:0045944; GO:0045893; GO:0006461; GO:0006367	GO:0005634; GO:0003677; GO:0003700; GO:0035329; GO:0006351
evm.model.Ap2.2826	sp|Q1JQA7|TIGAR_BOVIN	1.48e-48	Fructose-2,6-bisphosphatase TIGAR OS=Bos taurus GN=TIGAR PE=2 SV=1	tr|A0A2B4SHM5|A0A2B4SHM5_STYPI	7.19e-114	Fructose-2,6-bisphosphatase TIGAR OS=Stylophora pistillata GN=TIGAR PE=4 SV=1	ref|XP_020619306.1|	2.28e-142	fructose-2,6-bisphosphatase TIGAR-like [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0005741; GO:0005739; GO:0005634; GO:0004083; GO:0004331; GO:0016791; GO:0006915; GO:0006914; GO:0071279; GO:0006974; GO:0071456; GO:0030388; GO:0006003; GO:0060576; GO:1904024; GO:0045820; GO:1901525; GO:1901215; GO:0043069; GO:2000378; GO:0010666; GO:0045739; GO:1903301; GO:0043456; GO:1902153; GO:0010332; GO:0002931; GO:0009410	GO:0003824; GO:0008152
evm.model.Ap2.2827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.3399_evm.model.Ap2.3401	NA	NA	NA	tr|A0A2B4SMT6|A0A2B4SMT6_STYPI	9.36e-98	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5358 PE=4 SV=1	ref|XP_020602530.1|	1.16e-127	uncharacterized protein LOC110041565 isoform X1 [Orbicella faveolata]	NA	GO:0016021; GO:0033179; GO:0015078; GO:0015991
evm.model.Ap2.3881	sp|Q9Y490|TLN1_HUMAN	0	Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	tr|A0A2B4RDD9|A0A2B4RDD9_STYPI	0	Talin-1 OS=Stylophora pistillata GN=TLN1 PE=4 SV=1	ref|XP_020615505.1|	0	talin-2-like [Orbicella faveolata]	GO:0009986; GO:0005856; GO:0005829; GO:0070062; GO:0005576; GO:0005925; GO:0001726; GO:0032587; GO:0051015; GO:0045296; GO:0005178; GO:0030274; GO:0035091; GO:0001786; GO:0005200; GO:0017166; GO:0007043; GO:0007044; GO:0030866; GO:0007016; GO:0033622; GO:0007229; GO:0036498; GO:0006928; GO:0006936; GO:0070527; GO:0002576; GO:0016032	GO:0005856; GO:0005925; GO:0001726; GO:0051015; GO:0005200; GO:0007155; GO:0007016
evm.model.Ap2.3880	sp|Q9Y4G6|TLN2_HUMAN	0	Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4	tr|A0A2B4RDD9|A0A2B4RDD9_STYPI	0	Talin-1 OS=Stylophora pistillata GN=TLN1 PE=4 SV=1	gb|PFX15176.1|	0	talin-2-like [Stylophora pistillata]	GO:0015629; GO:0005737; GO:0005925; GO:0005886; GO:0001726; GO:0045202; GO:0003779; GO:0051015; GO:0005200; GO:0005198; GO:0007155; GO:0007043; GO:0007016	GO:0005856; GO:0005925; GO:0001726; GO:0051015; GO:0005200; GO:0007155; GO:0007016
evm.model.Ap2.3883	sp|O15182|CETN3_HUMAN	2.7e-93	Centrin-3 OS=Homo sapiens GN=CETN3 PE=1 SV=2	tr|A0A2B4REB5|A0A2B4REB5_STYPI	3.54e-114	Centrin-3 OS=Stylophora pistillata GN=CETN3 PE=4 SV=1	gb|PFX15173.1|	5.49e-114	centrin-3-like [Orbicella faveolata]	GO:0005814; GO:0005813; GO:0005730; GO:0005509; GO:0051301; GO:0007098	GO:0005509
evm.model.Ap2.3882	sp|Q9Y490|TLN1_HUMAN	1.98e-48	Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	tr|A0A2B4RDD9|A0A2B4RDD9_STYPI	6.06e-79	Talin-1 OS=Stylophora pistillata GN=TLN1 PE=4 SV=1	ref|XP_020615464.1|	1.75e-88	talin-1-like [Orbicella faveolata]	GO:0009986; GO:0005856; GO:0005829; GO:0070062; GO:0005576; GO:0005925; GO:0001726; GO:0032587; GO:0051015; GO:0045296; GO:0005178; GO:0030274; GO:0035091; GO:0001786; GO:0005200; GO:0017166; GO:0007043; GO:0007044; GO:0030866; GO:0007016; GO:0033622; GO:0007229; GO:0036498; GO:0006928; GO:0006936; GO:0070527; GO:0002576; GO:0016032	GO:0005856; GO:0005925; GO:0001726; GO:0051015; GO:0005200; GO:0007155; GO:0007016
evm.model.Ap2.3885	sp|O13395|CHS6_USTMA	2.11e-18	Chitin synthase 6 OS=Ustilago maydis (strain 521 / FGSC 9021) GN=CHS6 PE=3 SV=2	tr|A0A2B4RFA3|A0A2B4RFA3_STYPI	0	Chitin synthase 6 OS=Stylophora pistillata GN=CHS6 PE=4 SV=1	ref|XP_020615433.1|	0	uncharacterized protein LOC110053534 [Orbicella faveolata]	GO:0030659; GO:0016021; GO:0005886; GO:0004100; GO:0071555	GO:0016021; GO:0016758
evm.model.Ap2.3884	sp|Q8BH16|FBXL2_MOUSE	3.68e-14	F-box/LRR-repeat protein 2 OS=Mus musculus GN=Fbxl2 PE=1 SV=1	tr|A0A2B4RA07|A0A2B4RA07_STYPI	0	F-box/LRR-repeat protein 2 OS=Stylophora pistillata GN=Fbxl2 PE=4 SV=1	ref|XP_020615519.1|	0	uncharacterized protein LOC110053608 [Orbicella faveolata]	GO:0016020; GO:0019005; GO:0005516; GO:0036312; GO:0019903; GO:0004842; GO:0044830; GO:0006513; GO:0016567; GO:0010506; GO:0014066; GO:0031146; GO:0006511	
evm.model.Ap2.3887	sp|Q9UBG0|MRC2_HUMAN	1.26e-25	C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2	tr|A0A2B4S1F5|A0A2B4S1F5_STYPI	4.43e-124	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1	ref|XP_020615526.1|	0	platelet-derived growth factor receptor alpha-like [Orbicella faveolata]	GO:0005925; GO:0005887; GO:0016020; GO:0030246; GO:0005518; GO:0004888; GO:0030574; GO:0006897; GO:0001649	GO:0005524; GO:0004713
evm.model.Ap2.3886	sp|Q8VDR5|TM267_MOUSE	3.61e-32	Transmembrane protein 267 OS=Mus musculus GN=Tmem267 PE=2 SV=1	tr|A0A2B4RED4|A0A2B4RED4_STYPI	2.79e-92	Transmembrane protein C5orf28-like OS=Stylophora pistillata GN=AWC38_SpisGene20621 PE=4 SV=1	ref|XP_020615523.1|	1.23e-126	transmembrane protein 267-like [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap2.3888	sp|Q86PM4|FGFR_HYDVU	8.96e-07	Fibroblast growth factor receptor OS=Hydra vulgaris GN=FGFR PE=2 SV=1	tr|A0A2B4SJ27|A0A2B4SJ27_STYPI	2.78e-19	Mast/stem cell growth factor receptor kita OS=Stylophora pistillata GN=kita PE=4 SV=1	ref|XP_020625832.1|	2.83e-29	tyrosine kinase receptor Cad96Ca-like [Orbicella faveolata]	GO:0016021; GO:0005524; GO:0005007; GO:0008284	GO:0016021; GO:0005524; GO:0030246; GO:0004713
evm.model.Ap2.4084	NA	NA	NA	tr|A0A2B4T2B7|A0A2B4T2B7_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene310 PE=4 SV=1	gb|PFX34765.1|	0	uncharacterized protein LOC111321352 [Stylophora pistillata]	NA	
evm.model.Ap2.4085	NA	NA	NA	tr|A0A2B4SSX2|A0A2B4SSX2_STYPI	0	ATP-dependent DNA helicase RecQ OS=Stylophora pistillata GN=recQ PE=4 SV=1	ref|XP_020606054.1|	0	uncharacterized protein LOC110044807, partial [Orbicella faveolata]	NA	GO:0005524; GO:0004386; GO:0003676; GO:0004672
evm.model.Ap2.4086	NA	NA	NA	tr|A0A2B4RYX1|A0A2B4RYX1_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene13106 PE=4 SV=1	gb|PFX22346.1|	0	hypothetical protein AWC38_SpisGene13106 [Stylophora pistillata]	NA	
evm.model.Ap2.4087	sp|P15144|AMPN_HUMAN	3.86e-169	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	tr|A7RL33|A7RL33_NEMVE	0	Aminopeptidase OS=Nematostella vectensis GN=v1g179195 PE=3 SV=1	ref|XP_020619459.1|	0	glutamyl aminopeptidase-like [Orbicella faveolata]	GO:0005793; GO:0009897; GO:0070062; GO:0005615; GO:0016021; GO:0005765; GO:0005886; GO:0030667; GO:0004177; GO:0070006; GO:0008237; GO:0042277; GO:0004872; GO:0001618; GO:0008270; GO:0001525; GO:0030154; GO:0007267; GO:0043312; GO:0043171; GO:0008217; GO:0007165	GO:0005737; GO:0016021; GO:0070006; GO:0042277; GO:0008270; GO:0043171; GO:0006508
evm.model.Ap2.4080	NA	NA	NA	tr|C3ZDM0|C3ZDM0_BRAFL	5.64e-29	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117723 PE=4 SV=1	gb|EEN48826.1|	8.74e-29	hypothetical protein BRAFLDRAFT_117723 [Branchiostoma floridae]	NA	
evm.model.Ap2.4081	NA	NA	NA	tr|A0A2B4T2B7|A0A2B4T2B7_STYPI	5.61e-46	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene310 PE=4 SV=1	gb|PFX34765.1|	8.7e-46	uncharacterized protein LOC111321352 [Stylophora pistillata]	NA	
evm.model.Ap2.4082	NA	NA	NA	tr|A0A2B4T2B7|A0A2B4T2B7_STYPI	3.24e-28	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene310 PE=4 SV=1	ref|XP_020603378.1|	1.05e-28	uncharacterized protein LOC110042355, partial [Orbicella faveolata]	NA	
evm.model.Ap2.4083	NA	NA	NA	tr|A0A2B4T2B7|A0A2B4T2B7_STYPI	6.61e-152	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene310 PE=4 SV=1	gb|PFX34765.1|	1.02e-151	uncharacterized protein LOC111321352 [Stylophora pistillata]	NA	
evm.model.Ap2.4088	sp|Q9V1R3|HMDH_PYRAB	1.14e-75	3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Pyrococcus abyssi (strain GE5 / Orsay) GN=hmgA PE=3 SV=2	tr|A0A2B4S1D8|A0A2B4S1D8_STYPI	0	3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Stylophora pistillata GN=hmgA PE=4 SV=1	gb|PFX22377.1|	0	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2-like isoform X1 [Stylophora pistillata]	GO:0016021; GO:0004420; GO:0050661; GO:0015936; GO:0008299	GO:0050662; GO:0004420; GO:0015936
evm.model.Ap2.4089	sp|Q95SX7|RTBS_DROME	9.37e-11	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1	tr|A0A2B4RPY8|A0A2B4RPY8_STYPI	5.01e-43	Putative RNA-directed DNA polymerase from transposon BS OS=Stylophora pistillata GN=RTase PE=4 SV=1	gb|PFX18378.1|	7.76e-43	putative RNA-directed DNA polymerase from transposon BS [Stylophora pistillata]	GO:0003964; GO:0006313	GO:0003964
evm.model.Ap2.1108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.1109	sp|D3ZV31|ZCHC4_RAT	1.78e-138	Zinc finger CCHC domain-containing protein 4 OS=Rattus norvegicus GN=Zcchc4 PE=3 SV=1	tr|A0A2B4RZX4|A0A2B4RZX4_STYPI	0	Zinc finger CCHC domain-containing protein 4 OS=Stylophora pistillata GN=Zcchc4 PE=4 SV=1	ref|XP_020609212.1|	0	zinc finger CCHC domain-containing protein 4-like isoform X1 [Orbicella faveolata]	GO:0008168; GO:0003676; GO:0016746; GO:0008270	GO:0003676; GO:0008270
evm.model.Ap2.1106	NA	NA	NA	tr|A0A2B4R937|A0A2B4R937_STYPI	1.57e-86	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene23254 PE=4 SV=1	ref|XP_020628220.1|	2.34e-178	uncharacterized protein LOC110065426 [Orbicella faveolata]	NA	GO:0003676
evm.model.Ap2.1107	sp|B4JW99|CLU_DROGR	5.33e-08	Protein clueless OS=Drosophila grimshawi GN=clu PE=3 SV=1	tr|A0A2B4RKS8|A0A2B4RKS8_STYPI	2.85e-24	Nephrocystin-3 OS=Stylophora pistillata GN=NPHP3 PE=4 SV=1	ref|XP_020605081.1|	7.41e-26	nephrocystin-3-like [Orbicella faveolata]	GO:0005783; GO:0031315; GO:0005794; GO:0072686; GO:0098799; GO:0003729; GO:0043022; GO:0055059; GO:0048312	
evm.model.Ap2.1105	NA	NA	NA	tr|A0A087TRE2|A0A087TRE2_9ARAC	1.82e-75	Uncharacterized protein (Fragment) OS=Stegodyphus mimosarum GN=X975_16856 PE=4 SV=1	ref|XP_020632969.1|	8.19e-96	uncharacterized protein LOC110069770 [Orbicella faveolata]	NA	
evm.model.Ap2.1102	NA	NA	NA	tr|A0A2B4RC51|A0A2B4RC51_STYPI	2.08e-84	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21774 PE=4 SV=1	ref|XP_020614165.1|	7.17e-123	uncharacterized protein LOC110052381 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap2.1100	NA	NA	NA	tr|A0A1S3H359|A0A1S3H359_LINUN	2.46e-11	uncharacterized protein LOC106151630 OS=Lingula unguis GN=LOC106151630 PE=4 SV=1	ref|XP_020629946.1|	1.37e-87	uncharacterized protein LOC110067018 [Orbicella faveolata]	NA	GO:0003676; GO:0008270
